annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	35	0.025035765379113	2.68552118752414	2.94392239448396e-07
UTR5	71546	0.00285251910856087	8	0.00572246065808298	2.00610773856306	0.0685858279837391
downstream	284177	0.0113300579027968	22	0.0157367668097282	1.38893966339251	0.12731539720514
exonic	254736	0.0101562534263042	13	0.00929899856938484	0.915593396409436	0.893623102509962
intergenic	11684523	0.465858680176655	499	0.356938483547926	0.766194768363173	1.81585791373253e-16
intronic	9137749	0.364319509570527	679	0.485693848354793	1.3331535522963	2.29485952642015e-20
ncRNA_exonic	259951	0.0103641740249561	3	0.00214592274678112	0.20705197940655	0.000524506990617128
ncRNA_intronic	2884355	0.114998431126451	129	0.092274678111588	0.802399451955338	0.00724150978601089
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	0	0	0	1
upstream	266686	0.0106326966005879	10	0.00715307582260372	0.672743339841768	0.240045545572893
