# MEAN_SAMPLE_SIZE = 103764
# TOTAL_GENES = 19275
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      22     -0.14548   -0.0049121      0.16837       0.8062 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      42     0.048771    0.0022742      0.12536      0.34863 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7     0.090517    0.0017247      0.31449      0.38674 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13    -0.038362  -0.00099596      0.23307      0.56537 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16       0.2574    0.0074132      0.20127      0.10047 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13      0.46306     0.012022      0.23279     0.023351 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41      0.15932    0.0073404      0.12729      0.10536 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      17     -0.11725   -0.0034806      0.19915      0.72199 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      32      0.15508    0.0063136      0.13126      0.11873 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28    -0.044061   -0.0016781      0.14645      0.61824 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20      0.22112    0.0071191      0.17653      0.10519 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      25     0.047079    0.0016944       0.1799      0.39678 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      42     0.031322    0.0014605      0.11589      0.39348 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     517     0.071902     0.011617     0.034639     0.018965 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     912   0.00089587   0.00019021     0.026383      0.48646 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     164    -0.029747   -0.0027323     0.063796      0.67949 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     243      0.01755    0.0019581     0.053064      0.37043 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      96    -0.013595  -0.00095708     0.077593      0.56954 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     120     0.084077    0.0066134     0.078096      0.14084 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     260     0.044053    0.0050819     0.047108      0.17486 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     816    -0.028948   -0.0058289     0.027769      0.85139 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     722    0.0082521    0.0015669     0.030986        0.395 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     339     0.016904     0.002222     0.041843      0.34311 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     159    -0.029893   -0.0027038     0.059299       0.6929 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET     109    -0.077868   -0.0058392     0.073128      0.85651 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      80      0.10295    0.0066191     0.084851      0.11251 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      71      0.12355    0.0074851     0.096561      0.10036 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     242     0.039464    0.0043942     0.052435      0.22584 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     185     0.016317    0.0015909     0.059644      0.39221 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10      0.12939    0.0029465      0.25005      0.30242 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     231     0.028196    0.0030683     0.056169      0.30784 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     295      0.10292     0.012635     0.049711     0.019213 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      33     -0.15386   -0.0063609      0.13882      0.86613 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      28      0.11336    0.0043174      0.15819      0.23683 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      38     0.051166    0.0022697      0.12283      0.33851 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                   SET      64      0.10066    0.0057907       0.1019      0.16162 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                   SET      26     -0.06285   -0.0023068      0.16607      0.64745 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1         SET     177    -0.022454   -0.0021419     0.061468      0.64255 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     130      0.12259     0.010034     0.073744     0.048223 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84     -0.08967   -0.0059068     0.080357      0.86776 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     230    -0.020804   -0.0022591     0.054136      0.64962 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      24       0.1212    0.0042741      0.15787      0.22133 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5      0.50677    0.0081612      0.40607      0.10603 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      33     0.087209    0.0036055      0.13966      0.26617 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16      0.25063    0.0072181      0.18932     0.092786 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     182     0.058349    0.0056431      0.05715      0.15364 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     113      0.10851    0.0082837     0.075868     0.076343 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104  -0.00068341  -5.0065e-05     0.076429      0.50357 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18    -0.072468   -0.0022136      0.20373      0.63897 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      66   -0.0018462  -0.00010785     0.095967      0.50767 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40    -0.089054   -0.0040527      0.12444      0.76289 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      11    0.0084237   0.00020118      0.23947      0.48597 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12     -0.57273    -0.014286      0.21635      0.99594 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59     0.080556    0.0044501      0.10179      0.21437 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21      0.19068    0.0062905      0.18019      0.14499 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      41      0.08768    0.0040397      0.12679      0.24462 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      17      -0.3071   -0.0091166      0.20744      0.93061 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     161    0.0072703   0.00066169      0.06022      0.45195 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      43    0.0089921   0.00042425      0.12016      0.47017 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      43      0.11259    0.0053121      0.12195      0.17794 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      37      0.12229     0.005353      0.12618      0.16623 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      63     0.017608     0.001005      0.10342      0.43241 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16     -0.56385    -0.016239      0.20332      0.99722 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55     0.085884    0.0045813      0.11032      0.21815 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      30     0.072756    0.0028682      0.14036      0.30211 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      33     -0.18806   -0.0077747      0.13537       0.9176 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      56   -0.0039411  -0.00021213      0.11261      0.51396 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      16     -0.27959   -0.0080523      0.18429      0.93538 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
