# TOTAL_GENES = 17358
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17358     0.011963     0.023895     0.010084      0.11776 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17358    0.0051981     0.010105     0.010453       0.3095 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17358    -0.018461    -0.035662    0.0094926      0.97409 Adrenal_Gland
Artery_Aorta                        COVAR   17358     0.013613     0.027801    0.0096047     0.078203 Artery_Aorta
Artery_Coronary                     COVAR   17358     0.018283     0.036428     0.011147       0.0505 Artery_Coronary
Artery_Tibial                       COVAR   17358     0.018669     0.038461    0.0094695     0.024344 Artery_Tibial
Bladder                             COVAR   17358    0.0040687    0.0079388     0.012382      0.37124 Bladder
Brain_Amygdala                      COVAR   17358    -0.012358     -0.02107    0.0074112      0.95228 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17358    -0.010538    -0.018629    0.0068186      0.93888 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17358   -0.0070006    -0.012102    0.0074011      0.82789 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17358    -0.010766    -0.021613    0.0057623      0.96913 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17358   -0.0079118    -0.015714    0.0059499      0.90819 Brain_Cerebellum
Brain_Cortex                        COVAR   17358    -0.007935    -0.014482    0.0067132      0.88139 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17358    -0.010158    -0.018731    0.0064717      0.94173 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17358    -0.012961    -0.021966     0.007508      0.95784 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17358    -0.015175    -0.026145    0.0076399      0.97649 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17358   -0.0093577    -0.016248    0.0071656       0.9042 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17358     -0.00667    -0.011357    0.0074671      0.81413 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17358   -0.0071084    -0.012789    0.0080209      0.81225 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17358    -0.013694    -0.023592    0.0080604      0.95532 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17358     0.013155     0.025322     0.011915       0.1348 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17358     0.011785     0.025261    0.0061559     0.027795 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17358  -0.00062774   -0.0013699    0.0046122      0.55413 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17358     0.020256      0.03974     0.011503     0.039138 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17358     0.014084     0.027912     0.011023      0.10069 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17358     0.018688     0.036594     0.011853     0.057451 Colon_Sigmoid
Colon_Transverse                    COVAR   17358     0.011137     0.020498     0.010918      0.15387 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17358     0.011976     0.023594     0.012145      0.16205 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17358    0.0047037    0.0091005    0.0071584      0.25557 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17358     0.011391     0.022486      0.01174      0.16597 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17358    0.0058212     0.011306     0.011143       0.3007 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   17358   -0.0083225     -0.01495    0.0090038      0.82234 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   17358    -0.016521    -0.027589    0.0086725       0.9716 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   17358    0.0014961    0.0026309    0.0085184      0.43029 Kidney_Cortex
Kidney_Medulla                      COVAR   17358   -0.0023669   -0.0043809    0.0088055      0.60595 Kidney_Medulla
Liver                               COVAR   17358    0.0020369    0.0036687    0.0059727      0.36654 Liver
Lung                                COVAR   17358     0.018612     0.036024    0.0085468     0.014724 Lung
Minor_Salivary_Gland                COVAR   17358    0.0055573     0.010353    0.0090117      0.26873 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   17358   -0.0026076   -0.0049337    0.0065576      0.65455 Muscle_Skeletal
Nerve_Tibial                        COVAR   17358      0.01286     0.025914    0.0095803      0.08975 Nerve_Tibial
Ovary                               COVAR   17358    0.0029314    0.0059465    0.0091194      0.37394 Ovary
Pancreas                            COVAR   17358     -0.00174   -0.0029108    0.0079225      0.58692 Pancreas
Pituitary                           COVAR   17358    -0.012381    -0.023106    0.0084976      0.92743 Pituitary
Prostate                            COVAR   17358     0.020236     0.038436     0.011333     0.037087 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   17358    0.0072673     0.014028    0.0072103      0.15676 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   17358    0.0091582     0.017788    0.0072304      0.10266 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   17358     0.017101     0.031484    0.0090792     0.029823 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   17358    0.0086747     0.017204    0.0068573      0.10294 Spleen
Stomach                             COVAR   17358    -0.010497    -0.019087     0.011362      0.82221 Stomach
Testis                              COVAR   17358   -0.0051167   -0.0088462    0.0052342      0.83585 Testis
Thyroid                             COVAR   17358    0.0028336    0.0056171    0.0090825      0.37753 Thyroid
Uterus                              COVAR   17358      0.01004     0.020474     0.010335      0.16568 Uterus
Vagina                              COVAR   17358     0.017263     0.033048     0.010335     0.047438 Vagina
