Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
Curated_gene_sets	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_5	15	4	3.766973427480515e-07	0.001358162493347874	APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_5
Curated_gene_sets	NABA_ECM_REGULATORS	229	9	4.835376232008874e-07	0.001358162493347874	LPA:PLG:PLAU:MMP3:MMP13:ADAMTS8:ADAMTS7:CTSA:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_REGULATORS
Curated_gene_sets	PID_UPA_UPAR_PATHWAY	40	5	6.671962629861648e-07	0.001358162493347874	PLG:PLAU:MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PID_UPA_UPAR_PATHWAY
Curated_gene_sets	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1	18	4	8.364357156876823e-07	0.001358162493347874	APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1
Curated_gene_sets	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_4	22	4	1.9742199349224576e-06	0.0025645116954642728	APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_4
Curated_gene_sets	WP_BURN_WOUND_HEALING	97	6	3.2599264803874966e-06	0.0035288704150194653	INHBA:MMP3:MMP13:FBN1:SMAD3:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_BURN_WOUND_HEALING
Curated_gene_sets	REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	9	3	5.847509450167327e-06	0.005089553703527709	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS
Curated_gene_sets	WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION	29	4	6.268888318432899e-06	0.005089553703527709	APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION
Curated_gene_sets	REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	10	3	8.328348988562431e-06	0.006010291853412555	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS
Curated_gene_sets	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	32	4	9.40123310204025e-06	0.006106100899775142	PLG:MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES
Curated_gene_sets	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	33	4	1.0663993002449235e-05	0.006296603140991616	LPA:APOA5:CETP:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PLASMA_LIPOPROTEIN_REMODELING
