ensg	entrez	symbol
ENSG00000031698	6301	SARS
ENSG00000143126	1952	CELSR2
ENSG00000134222	84722	PSRC1
ENSG00000134243	6272	SORT1
ENSG00000143028	284612	SYPL2
ENSG00000162650	127002	ATXN7L2
ENSG00000174151	284613	CYB561D1
ENSG00000160712	3570	IL6R
ENSG00000145242	2044	EPHA5
ENSG00000170006	201799	TMEM154
ENSG00000175003	6580	SLC22A1
ENSG00000146477	6581	SLC22A3
ENSG00000198670	4018	LPA
ENSG00000122194	5340	PLG
ENSG00000026652	56895	AGPAT4
ENSG00000185345	5071	PARK2
ENSG00000112530	135138	PACRG
ENSG00000175600	79783	SUGCT
ENSG00000122641	3624	INHBA
ENSG00000099810	4507	MTAP
ENSG00000264545	NA	RP11-145E5.5
ENSG00000224854	NA	C9orf53
ENSG00000147889	1029	CDKN2A
ENSG00000147883	1030	CDKN2B
ENSG00000176986	9632	SEC24C
ENSG00000267964	NA	AC022400.2
ENSG00000196968	170384	FUT11
ENSG00000172586	118487	CHCHD1
ENSG00000214655	23053	ZSWIM8
ENSG00000272916	8509	RP11-574K11.31
ENSG00000166507	8509	NDST2
ENSG00000148660	818	CAMK2G
ENSG00000122861	5328	PLAU
ENSG00000222047	414236	C10orf55
ENSG00000185009	26985	AP3M1
ENSG00000156110	132	ADK
ENSG00000176273	159371	SLC35G1
ENSG00000138193	51196	PLCE1
ENSG00000173145	64318	NOC3L
ENSG00000108239	23232	TBC1D12
ENSG00000119969	3070	HELLS
ENSG00000173124	142827	C10orf129
ENSG00000149968	4314	MMP3
ENSG00000137745	4322	MMP13
ENSG00000137656	84811	BUD13
ENSG00000109917	8882	ZNF259
ENSG00000110243	116519	APOA5
ENSG00000160584	23387	SIK3
ENSG00000134917	11095	ADAMTS8
ENSG00000102678	2254	FGF9
ENSG00000166147	2200	FBN1
ENSG00000103995	22995	CEP152
ENSG00000255302	23741	EID1
ENSG00000138593	9728	SECISBP2L
ENSG00000166949	4088	SMAD3
ENSG00000103591	79719	AAGAB
ENSG00000103599	64799	IQCH
ENSG00000189227	145853	C15orf61
ENSG00000137764	5607	MAP2K5
ENSG00000188779	390598	SKOR1
ENSG00000136381	3658	IREB2
ENSG00000188266	123688	HYKK
ENSG00000268838	NA	AC027228.1
ENSG00000041357	5685	PSMA4
ENSG00000169684	1138	CHRNA5
ENSG00000080644	1136	CHRNA3
ENSG00000117971	1143	CHRNB4
ENSG00000136378	11173	ADAMTS7
ENSG00000070915	6559	SLC12A3
ENSG00000051108	9709	HERPUD1
ENSG00000087237	1071	CETP
ENSG00000172775	80011	FAM192A
ENSG00000159579	89970	RSPRY1
ENSG00000141448	2627	GATA6
ENSG00000212710	64693	CTAGE1
ENSG00000130164	3949	LDLR
ENSG00000124116	140686	WFDC3
ENSG00000132801	140831	ZSWIM3
ENSG00000064601	5476	CTSA
ENSG00000100979	5360	PLTP
ENSG00000100982	63935	PCIF1
ENSG00000198026	63925	ZNF335
ENSG00000100985	4318	MMP9
