ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000031698	6301	SARS	SARS	607529	P49591	DB00133
ENSG00000143126	1952	CELSR2	CELSR2	604265	Q9HCU4	NA
ENSG00000134222	84722	PSRC1	PSRC1	613126	Q6PGN9	NA
ENSG00000134243	6272	SORT1	SORT1	602458	Q99523	NA
ENSG00000143028	284612	SYPL2	SYPL2	NA	Q5VXT5	NA
ENSG00000162650	127002	ATXN7L2	ATXN7L2	NA	Q5T6C5	NA
ENSG00000174151	284613	CYB561D1	CYB561D1	NA	Q8N8Q1	NA
ENSG00000160712	3570	IL6R	IL6R	147880	P08887	DB06273:DB11767
ENSG00000145242	2044	EPHA5	EPHA5	600004	P54756	DB01254:DB12010
ENSG00000170006	201799	TMEM154	TMEM154	NA	Q6P9G4	NA
ENSG00000175003	6580	SLC22A1	SLC22A1	602607	O15245	NA
ENSG00000146477	6581	SLC22A3	SLC22A3	604842	O75751	NA
ENSG00000198670	4018	LPA	LPA	152200	P08519	DB00513
ENSG00000122194	5340	PLG	PLG	173350	P00747	DB00009:DB00013:DB00015:DB00029:DB00031:DB00086:DB00302:DB00513:DB03709:DB04925:DB06692:DB09130:DB12831
ENSG00000026652	56895	AGPAT4	AGPAT4	614795	Q9NRZ5	NA
ENSG00000185345	5071	PARK2	PARK2	602544	O60260	NA
ENSG00000112530	135138	PACRG	PACRG	608427	Q96M98	NA
ENSG00000175600	79783	SUGCT	SUGCT	609187	Q9HAC7	NA
ENSG00000122641	3624	INHBA	INHBA	147290	P08476	NA
ENSG00000099810	4507	MTAP	MTAP	156540	Q13126	DB00173:DB02158:DB02281:DB02282:DB02933
ENSG00000264545	NA	RP11-145E5.5	NA	NA	NA	NA
ENSG00000224854	NA	C9orf53	C9orf53	NA	Q9UH64	NA
ENSG00000147889	1029	CDKN2A	CDKN2A	600160	P42771	NA
ENSG00000147883	1030	CDKN2B	CDKN2B	600431	P42772	NA
ENSG00000176986	9632	SEC24C	SEC24C	607185	P53992	NA
ENSG00000267964	NA	AC022400.2	NA	NA	NA	NA
ENSG00000196968	170384	FUT11	FUT11	NA	Q495W5	NA
ENSG00000172586	118487	CHCHD1	CHCHD1	608842	Q96BP2	NA
ENSG00000214655	23053	ZSWIM8	ZSWIM8	NA	A7E2V4	NA
ENSG00000272916	8509	RP11-574K11.31	NA	603268	NA	NA
ENSG00000166507	8509	NDST2	NDST2	603268	P52849	NA
ENSG00000148660	818	CAMK2G	CAMK2G	602123	Q13555	DB06616:DB08699:DB12010
ENSG00000122861	5328	PLAU	PLAU	191840	P00749	DB00013:DB00594:DB01725:DB01905:DB01977:DB02287:DB02398:DB02473:DB02526:DB02551:DB02705:DB03046:DB03082:DB03127:DB03136:DB03159:DB03476:DB03729:DB03782:DB03865:DB03876:DB04059:DB04172:DB05254:DB06855:DB06856:DB06857:DB07076:DB07122:DB07129:DB07625:DB07626:DB08072:DB08697
ENSG00000222047	414236	C10orf55	C10orf55	NA	Q5SWW7	NA
ENSG00000185009	26985	AP3M1	AP3M1	610366	Q9Y2T2	NA
ENSG00000156110	132	ADK	ADK	102750	P55263	DB00131:DB07173:DB07280
ENSG00000176273	159371	SLC35G1	SLC35G1	NA	Q2M3R5	NA
ENSG00000138193	51196	PLCE1	PLCE1	608414	Q9P212	NA
ENSG00000173145	64318	NOC3L	NOC3L	610769	Q8WTT2	NA
ENSG00000108239	23232	TBC1D12	TBC1D12	NA	O60347	NA
ENSG00000119969	3070	HELLS	HELLS	603946	Q9NRZ9	NA
ENSG00000173124	142827	C10orf129	C10orf129	NA	Q6P461	NA
ENSG00000149968	4314	MMP3	MMP3	185250	P08254	DB00786:DB01877:DB01996:DB02090:DB02350:DB02367:DB02449:DB02697:DB03033:DB03368:DB04140:DB04232:DB04416:DB07390:DB07986:DB07987:DB07988:DB08029:DB08030:DB08271:DB08507:DB08643
ENSG00000137745	4322	MMP13	MMP13	600108	P45452	DB00786:DB01996:DB02049:DB02071:DB02697:DB03033:DB04759:DB04760:DB04761:DB06423:DB07013:DB07827:DB08388:DB08490:DB08561
ENSG00000137656	84811	BUD13	BUD13	NA	Q9BRD0	NA
ENSG00000109917	8882	ZNF259	ZNF259	603901	O75312	NA
ENSG00000110243	116519	APOA5	APOA5	606368	Q6Q788	NA
ENSG00000160584	23387	SIK3	SIK3	614776	Q9Y2K2	DB12010
ENSG00000134917	11095	ADAMTS8	ADAMTS8	605175	Q9UP79	NA
ENSG00000102678	2254	FGF9	FGF9	600921	P31371	NA
ENSG00000166147	2200	FBN1	FBN1	134797	P35555	NA
