Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Subcutaneous	1689	8	0.523108060036874	1	ENSG00000147883:ENSG00000122861:ENSG00000149968:ENSG00000166147:ENSG00000166949:ENSG00000136378:ENSG00000087237:ENSG00000100985
DEG.up	Adipose_Visceral_Omentum	1428	7	0.490905003286983	1	ENSG00000147883:ENSG00000122861:ENSG00000102678:ENSG00000166147:ENSG00000087237:ENSG00000141448:ENSG00000130164
DEG.up	Adrenal_Gland	1204	8	0.190210227778933	1	ENSG00000143028:ENSG00000175600:ENSG00000147889:ENSG00000102678:ENSG00000136381:ENSG00000080644:ENSG00000141448:ENSG00000130164
DEG.up	Artery_Aorta	2103	11	0.376634581249068	1	ENSG00000146477:ENSG00000175600:ENSG00000122641:ENSG00000196968:ENSG00000148660:ENSG00000138193:ENSG00000134917:ENSG00000166147:ENSG00000166949:ENSG00000136378:ENSG00000141448
DEG.up	Artery_Coronary	1593	11	0.114325042041064	1	ENSG00000146477:ENSG00000175600:ENSG00000122641:ENSG00000196968:ENSG00000148660:ENSG00000122861:ENSG00000138193:ENSG00000134917:ENSG00000166147:ENSG00000136378:ENSG00000141448
DEG.up	Artery_Tibial	2175	12	0.298920882552929	1	ENSG00000146477:ENSG00000175600:ENSG00000122641:ENSG00000196968:ENSG00000148660:ENSG00000122861:ENSG00000138193:ENSG00000134917:ENSG00000166147:ENSG00000138593:ENSG00000136378:ENSG00000141448
DEG.up	Bladder	728	4	0.434091094147061	1	ENSG00000099810:ENSG00000148660:ENSG00000166949:ENSG00000141448
DEG.up	Brain_Amygdala	1438	2	0.991924159641201	1	ENSG00000134222:ENSG00000145242
DEG.up	Brain_Anterior_cingulate_cortex_BA24	1866	7	0.770225823093019	1	ENSG00000143126:ENSG00000134222:ENSG00000145242:ENSG00000185345:ENSG00000112530:ENSG00000148660:ENSG00000102678
DEG.up	Brain_Caudate_basal_ganglia	1703	4	0.960708140254823	1	ENSG00000143126:ENSG00000134222:ENSG00000185345:ENSG00000112530
DEG.up	Brain_Cerebellar_Hemisphere	4248	14	0.947340594995692	1	ENSG00000143126:ENSG00000162650:ENSG00000174151:ENSG00000026652:ENSG00000148660:ENSG00000119969:ENSG00000160584:ENSG00000102678:ENSG00000138593:ENSG00000189227:ENSG00000188779:ENSG00000080644:ENSG00000132801:ENSG00000198026
DEG.up	Brain_Cerebellum	4055	14	0.918526785150213	1	ENSG00000143126:ENSG00000162650:ENSG00000174151:ENSG00000026652:ENSG00000166507:ENSG00000148660:ENSG00000119969:ENSG00000160584:ENSG00000102678:ENSG00000189227:ENSG00000188779:ENSG00000080644:ENSG00000132801:ENSG00000198026
DEG.up	Brain_Cortex	2159	7	0.883469810479075	1	ENSG00000143126:ENSG00000134222:ENSG00000145242:ENSG00000026652:ENSG00000185345:ENSG00000148660:ENSG00000102678
DEG.up	Brain_Frontal_Cortex_BA9	2422	8	0.885741768432713	1	ENSG00000143126:ENSG00000134222:ENSG00000145242:ENSG00000026652:ENSG00000185345:ENSG00000112530:ENSG00000148660:ENSG00000102678
DEG.up	Brain_Hippocampus	1542	6	0.725606406254839	1	ENSG00000143126:ENSG00000134222:ENSG00000145242:ENSG00000026652:ENSG00000112530:ENSG00000138593
DEG.up	Brain_Hypothalamus	1979	4	0.985213535231082	1	ENSG00000134222:ENSG00000145242:ENSG00000026652:ENSG00000112530
DEG.up	Brain_Nucleus_accumbens_basal_ganglia	1834	4	0.975063841826114	1	ENSG00000143126:ENSG00000134222:ENSG00000185345:ENSG00000112530
DEG.up	Brain_Putamen_basal_ganglia	1346	2	0.987972817384373	1	ENSG00000134222:ENSG00000112530
DEG.up	Brain_Spinal_cord_cervical_c-1	1611	5	0.87517642311917	1	ENSG00000143126:ENSG00000134222:ENSG00000026652:ENSG00000108239:ENSG00000138593
DEG.up	Brain_Substantia_nigra	1277	5	0.710117821172155	1	ENSG00000134222:ENSG00000145242:ENSG00000026652:ENSG00000108239:ENSG00000138593
DEG.up	Breast_Mammary_Tissue	1428	3	0.965286801523825	1	ENSG00000147883:ENSG00000149968:ENSG00000087237
DEG.up	Cells_Cultured_fibroblasts	3686	25	0.0240431761447435	1	ENSG00000134222:ENSG00000175600:ENSG00000122641:ENSG00000099810:ENSG00000147889:ENSG00000196968:ENSG00000172586:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000176273:ENSG00000173145:ENSG00000119969:ENSG00000149968:ENSG00000109917:ENSG00000166147:ENSG00000103995:ENSG00000166949:ENSG00000103591:ENSG00000189227:ENSG00000136381:ENSG00000041357:ENSG00000136378:ENSG00000159579:ENSG00000130164
DEG.up	Cells_EBV-transformed_lymphocytes	3833	20	0.305431906751326	1	ENSG00000170006:ENSG00000147889:ENSG00000196968:ENSG00000172586:ENSG00000185009:ENSG00000156110:ENSG00000173145:ENSG00000119969:ENSG00000137656:ENSG00000109917:ENSG00000103995:ENSG00000103591:ENSG00000136381:ENSG00000041357:ENSG00000169684:ENSG00000087237:ENSG00000159579:ENSG00000130164:ENSG00000132801:ENSG00000100985
DEG.up	Cervix_Ectocervix	187	2	0.213407885456179	1	ENSG00000099810:ENSG00000166949
DEG.up	Cervix_Endocervix	1723	7	0.692744643627137	1	ENSG00000099810:ENSG00000166507:ENSG00000137656:ENSG00000166949:ENSG00000136381:ENSG00000159579:ENSG00000198026
DEG.up	Colon_Sigmoid	1264	6	0.531841473583456	1	ENSG00000160712:ENSG00000148660:ENSG00000134917:ENSG00000169684:ENSG00000080644:ENSG00000117971
