Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Tissue	1554	8	0.427208628875474	1	ENSG00000147883:ENSG00000122861:ENSG00000149968:ENSG00000166147:ENSG00000166949:ENSG00000136378:ENSG00000087237:ENSG00000100985
DEG.up	Adrenal_Gland	1204	8	0.190210227778933	1	ENSG00000143028:ENSG00000175600:ENSG00000147889:ENSG00000102678:ENSG00000136381:ENSG00000080644:ENSG00000141448:ENSG00000130164
DEG.up	Bladder	728	4	0.434091094147061	1	ENSG00000099810:ENSG00000148660:ENSG00000166949:ENSG00000141448
DEG.up	Blood	1477	4	0.917542191859571	1	ENSG00000160712:ENSG00000170006:ENSG00000175003:ENSG00000100985
DEG.up	Blood_Vessel	2139	11	0.398700601661954	1	ENSG00000146477:ENSG00000175600:ENSG00000122641:ENSG00000196968:ENSG00000148660:ENSG00000122861:ENSG00000138193:ENSG00000134917:ENSG00000166147:ENSG00000136378:ENSG00000141448
DEG.up	Brain	2348	7	0.928769495506458	1	ENSG00000143126:ENSG00000134222:ENSG00000145242:ENSG00000026652:ENSG00000112530:ENSG00000102678:ENSG00000188779
DEG.up	Breast	1428	3	0.965286801523825	1	ENSG00000147883:ENSG00000149968:ENSG00000087237
DEG.up	Cervix_Uteri	2514	7	0.955229103020391	1	ENSG00000146477:ENSG00000099810:ENSG00000137656:ENSG00000166949:ENSG00000136381:ENSG00000188266:ENSG00000136378
DEG.up	Colon	1107	7	0.248685433039407	1	ENSG00000160712:ENSG00000148660:ENSG00000176273:ENSG00000138193:ENSG00000134917:ENSG00000169684:ENSG00000080644
DEG.up	Esophagus	1008	4	0.690403358703292	1	ENSG00000170006:ENSG00000147883:ENSG00000134917:ENSG00000130164
DEG.up	Fallopian_Tube	451	1	0.878924199203213	1	ENSG00000141448
DEG.up	Heart	458	3	0.354106103550987	1	ENSG00000185345:ENSG00000136378:ENSG00000141448
DEG.up	Kidney	963	5	0.459187841909695	1	ENSG00000122194:ENSG00000112530:ENSG00000175600:ENSG00000102678:ENSG00000070915
DEG.up	Liver	1090	8	0.129119524479588	1	ENSG00000160712:ENSG00000175003:ENSG00000146477:ENSG00000198670:ENSG00000122194:ENSG00000156110:ENSG00000110243:ENSG00000087237
DEG.up	Lung	3029	12	0.761281704755328	1	ENSG00000160712:ENSG00000122641:ENSG00000147883:ENSG00000196968:ENSG00000166507:ENSG00000122861:ENSG00000138193:ENSG00000134917:ENSG00000136378:ENSG00000141448:ENSG00000130164:ENSG00000100985
DEG.up	Muscle	879	7	0.110612055627459	1	ENSG00000143028:ENSG00000162650:ENSG00000160712:ENSG00000146477:ENSG00000185345:ENSG00000149968:ENSG00000189227
DEG.up	Nerve	4157	17	0.753322375442517	1	ENSG00000134222:ENSG00000145242:ENSG00000146477:ENSG00000026652:ENSG00000099810:ENSG00000166507:ENSG00000138193:ENSG00000173145:ENSG00000108239:ENSG00000149968:ENSG00000137656:ENSG00000166147:ENSG00000103995:ENSG00000138593:ENSG00000136381:ENSG00000188266:ENSG00000136378
DEG.up	Ovary	3674	15	0.742701826761179	1	ENSG00000162650:ENSG00000146477:ENSG00000026652:ENSG00000099810:ENSG00000176273:ENSG00000137656:ENSG00000166147:ENSG00000166949:ENSG00000137764:ENSG00000136381:ENSG00000188266:ENSG00000136378:ENSG00000141448:ENSG00000130164:ENSG00000198026
DEG.up	Pancreas	549	1	0.924022053925766	1	ENSG00000173124
DEG.up	Pituitary	3253	12	0.841996547065267	1	ENSG00000162650:ENSG00000174151:ENSG00000026652:ENSG00000112530:ENSG00000147889:ENSG00000176273:ENSG00000137745:ENSG00000102678:ENSG00000103591:ENSG00000103599:ENSG00000189227:ENSG00000087237
DEG.up	Prostate	2019	3	0.996669019084341	1	ENSG00000146477:ENSG00000134917:ENSG00000166949
DEG.up	Salivary_Gland	1285	1	0.997894208301726	1	ENSG00000149968
DEG.up	Skin	2568	13	0.404373132834545	1	ENSG00000143126:ENSG00000174151:ENSG00000170006:ENSG00000122641:ENSG00000147883:ENSG00000156110:ENSG00000173145:ENSG00000119969:ENSG00000173124:ENSG00000149968:ENSG00000159579:ENSG00000130164:ENSG00000124116
DEG.up	Small_Intestine	1855	5	0.938618094369593	1	ENSG00000174151:ENSG00000147883:ENSG00000176273:ENSG00000080644:ENSG00000100985
DEG.up	Spleen	2666	11	0.701974143104762	1	ENSG00000174151:ENSG00000160712:ENSG00000166507:ENSG00000122861:ENSG00000173145:ENSG00000119969:ENSG00000087237:ENSG00000141448:ENSG00000132801:ENSG00000198026:ENSG00000100985
DEG.up	Stomach	780	4	0.487291749496211	1	ENSG00000173124:ENSG00000134917:ENSG00000080644:ENSG00000141448
