GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000237683	1	124901	149379	2	1	2109196	-1.4363	0.92454	AL627309.1
ENSG00000269831	1	728532	749137	71	21	2109196	-0.32412	0.62708	AL669831.1
ENSG00000269308	1	808043	829983	60	25	2109196	1.6337	0.051159	AL645608.2
ENSG00000187634	1	850260	889955	351	56	2109196	-0.32472	0.6273	SAMD11
ENSG00000268179	1	851264	876445	227	50	2109196	0.094943	0.46218	AL645608.1
ENSG00000188976	1	869584	904689	281	48	2109196	-0.88672	0.81239	NOC2L
ENSG00000187961	1	885967	911095	230	53	2109196	-1.1174	0.8681	KLHL17
ENSG00000187583	1	891877	921245	266	60	2109196	-0.6814	0.75219	PLEKHN1
ENSG00000187642	1	900579	927497	223	63	2109196	-0.48249	0.68527	C1orf170
ENSG00000188290	1	924342	945552	174	37	2109196	-0.88409	0.81168	HES4
ENSG00000187608	1	938803	959920	167	38	2109196	-1.5849	0.9435	ISG15
ENSG00000188157	1	945503	1001496	457	61	2109196	-1.7888	0.96318	AGRN
ENSG00000237330	1	996346	1019687	135	35	2109196	-1.0616	0.85579	RNF223
ENSG00000131591	1	1007198	1061741	389	50	2109196	-0.88012	0.8106	C1orf159
ENSG00000162571	1	1099264	1143315	392	55	2109196	0.3986	0.34509	TTLL10
ENSG00000186891	1	1128888	1152071	167	33	2109196	1.6193	0.052695	TNFRSF18
ENSG00000186827	1	1136706	1159518	178	28	2109196	1.675	0.046969	TNFRSF4
ENSG00000078808	1	1142288	1177411	303	24	2109196	1.4868	0.068534	SDF4
ENSG00000176022	1	1157629	1180421	210	22	2109196	1.1917	0.11668	B3GALT6
ENSG00000184163	1	1167826	1192102	175	34	2109196	1.1317	0.12888	FAM132A
ENSG00000160087	1	1179289	1219265	270	35	2109196	2.1401	0.016172	UBE2J2
ENSG00000162572	1	1205816	1237409	245	55	2109196	2.3333	0.0098159	SCNN1D
ENSG00000131584	1	1217756	1254989	272	57	2109196	2.0517	0.020101	ACAP3
ENSG00000169972	1	1233947	1257057	144	45	2109196	1.9947	0.023038	PUSL1
ENSG00000127054	1	1236965	1270071	227	59	2109196	2.296	0.010837	CPSF3L
ENSG00000224051	1	1250136	1274277	169	47	2109196	2.4308	0.007533	GLTPD1
ENSG00000169962	1	1256694	1280686	187	49	2109196	2.3385	0.0096799	TAS1R3
ENSG00000107404	1	1260656	1294730	252	41	2109196	2.4218	0.0077212	DVL1
ENSG00000162576	1	1278069	1307157	237	34	2109196	1.548	0.060815	MXRA8
ENSG00000175756	1	1299110	1320875	194	24	2109196	1.1642	0.12217	AURKAIP1
ENSG00000221978	1	1311091	1344708	183	32	2109196	1.7912	0.036628	CCNL2
ENSG00000224870	1	1324902	1347426	125	31	2109196	2.0075	0.022348	RP4-758J18.2
ENSG00000242485	1	1327288	1352693	150	29	2109196	1.9698	0.024432	MRPL20
ENSG00000235098	1	1343800	1367149	186	30	2109196	1.7842	0.037199	ANKRD65
ENSG00000205116	1	1351508	1373167	161	33	2109196	1.4412	0.074762	TMEM88B
ENSG00000179403	1	1360241	1388262	176	42	2109196	-0.21464	0.58498	VWA1
ENSG00000215915	1	1375069	1415538	265	50	2109196	-1.3534	0.91203	ATAD3C
ENSG00000160072	1	1397143	1443228	332	36	2109196	-0.18897	0.57494	ATAD3B
ENSG00000197785	1	1437531	1480067	317	45	2109196	-0.63956	0.73877	ATAD3A
ENSG00000205090	1	1460554	1485833	179	37	2109196	0.17458	0.4307	TMEM240
ENSG00000160075	1	1467053	1520249	322	35	2109196	0.49354	0.31081	SSU72
ENSG00000215014	1	1500355	1521373	146	27	2109196	0.064777	0.47418	AL645728.1
ENSG00000228594	1	1523392	1545476	100	26	2109196	-1.4597	0.92781	C1orf233
ENSG00000197530	1	1540795	1575990	152	41	2109196	-0.75629	0.77526	MIB2
ENSG00000189409	1	1557474	1580639	78	32	2109196	-0.99092	0.83914	MMP23B
ENSG00000248333	1	1560603	1600473	141	34	2109196	-0.0557	0.52221	CDK11B
ENSG00000189339	1	1582939	1634167	217	54	2109196	-1.1545	0.87585	SLC35E2B
ENSG00000008128	1	1624169	1665766	225	26	2109196	-0.56842	0.71512	CDK11A
ENSG00000215790	1	1646277	1687431	262	31	2109196	-0.69918	0.75778	SLC35E2
ENSG00000008130	1	1672671	1721896	235	51	2109196	-0.13194	0.55249	NADK
ENSG00000078369	1	1706729	1832495	541	78	2109196	-0.81351	0.79204	GNB1
ENSG00000169885	1	1836266	1858735	151	30	2109196	-1.9966	0.97706	CALML6
ENSG00000178821	1	1839029	1860712	149	29	2109196	-1.8268	0.96613	TMEM52
ENSG00000142609	1	1843396	1945276	810	75	2109196	-0.48052	0.68457	C1orf222
ENSG00000187730	1	1940780	1972192	180	44	2109196	1.8612	0.031361	GABRD
ENSG00000067606	1	1971909	2126834	1060	87	2109196	-0.071759	0.5286	PRKCZ
ENSG00000162585	1	2105903	2154159	242	76	2109196	0.35909	0.35976	C1orf86
ENSG00000269554	1	2111237	2133179	96	39	2109196	0.74516	0.22809	AL590822.2
ENSG00000203301	1	2133360	2155620	125	49	2109196	0.059528	0.47627	AL590822.1
ENSG00000157933	1	2150134	2251558	595	93	2109196	0.68962	0.24522	SKI
ENSG00000116151	1	2242692	2333146	670	106	2109196	-0.8312	0.79707	MORN1
ENSG00000269753	1	2248581	2269042	173	57	2109196	-0.55555	0.71074	AL589739.1
ENSG00000157916	1	2313267	2346883	192	62	2109196	-0.45156	0.67421	RER1
ENSG00000157911	1	2326236	2355236	188	60	2109196	-0.69573	0.7567	PEX10
ENSG00000149527	1	2347419	2446969	739	119	2109196	1.2358	0.10827	PLCH2
ENSG00000157881	1	2429972	2468039	264	43	2109196	0.69889	0.24231	PANK4
ENSG00000197921	1	2450184	2471684	142	44	2109196	1.2523	0.10524	HES5
ENSG00000157873	1	2477078	2506821	168	35	2109196	0.85033	0.19757	TNFRSF14
ENSG00000157870	1	2507930	2532908	186	29	2109196	0.85953	0.19503	FAM213B
ENSG00000142606	1	2512078	2574481	413	33	2109196	0.84784	0.19826	MMEL1
ENSG00000215912	1	2557415	2728286	679	42	2109196	2.1383	0.016246	TTC34
ENSG00000169717	1	2928046	2949465	168	35	2109196	1.6838	0.046106	ACTRT2
ENSG00000142611	1	2975732	3365185	3069	316	2109196	0.87005	0.19214	PRDM16
ENSG00000130762	1	3360990	3407677	319	38	2109196	0.96966	0.16611	ARHGEF16
ENSG00000162591	1	3396484	3538059	1096	158	2109196	1.6028	0.054488	MEGF6
ENSG00000158109	1	3531566	3556691	180	40	2109196	1.955	0.025291	TPRG1L
ENSG00000116213	1	3537331	3579325	246	56	2109196	2.2157	0.013357	WRAP73
ENSG00000078900	1	3559084	3662765	662	107	2109196	0.52023	0.30145	TP73
ENSG00000162592	1	3658962	3698209	292	59	2109196	-2.1755	0.9852	CCDC27
ENSG00000235169	1	3679352	3702546	214	39	2109196	-1.2154	0.8879	SMIM1
ENSG00000130764	1	3686784	3723068	316	38	2109196	-1.0011	0.8416	LRRC47
ENSG00000116198	1	3718645	3783778	613	32	2109196	-0.12033	0.54789	CEP104
ENSG00000169598	1	3763845	3811993	474	64	2109196	1.3696	0.085399	DFFB
ENSG00000198912	1	3795689	3826857	244	46	2109196	1.3679	0.085668	C1orf174
ENSG00000196581	1	4704792	4862594	1293	150	2109196	0.40075	0.3443	AJAP1
ENSG00000131697	1	5912871	6062533	958	57	2109196	-0.15511	0.56163	NPHP4
ENSG00000069424	1	6041526	6171253	769	114	2109196	0.38032	0.35186	KCNAB2
ENSG00000268332	1	6090630	6111399	125	41	2109196	0.042586	0.48302	AL035406.1
ENSG00000116254	1	6151853	6250183	644	77	2109196	0.065349	0.47395	CHD5
ENSG00000116251	1	6231329	6279449	235	48	2109196	1.2297	0.1094	RPL22
ENSG00000158286	1	6255535	6291359	189	43	2109196	2.0125	0.022081	RNF207
ENSG00000116237	1	6271253	6306032	183	42	2109196	1.1643	0.12215	ICMT
ENSG00000173673	1	6294252	6315638	98	29	2109196	1.0116	0.15586	HES3
ENSG00000158292	1	6297406	6331035	180	35	2109196	0.060879	0.47573	GPR153
ENSG00000097021	1	6314329	6464451	987	63	2109196	-0.32636	0.62792	ACOT7
ENSG00000069812	1	6462478	6494730	186	26	2109196	0.44482	0.32822	HES2
ENSG00000187017	1	6474848	6531430	319	40	2109196	1.1597	0.12309	ESPN
ENSG00000215788	1	6511211	6536255	139	42	2109196	1.1904	0.11694	TNFRSF25
ENSG00000171680	1	6516152	6590121	462	80	2109196	1.1781	0.11939	PLEKHG5
ENSG00000162408	1	6571407	6624595	370	23	2109196	0.92031	0.17871	NOL9
ENSG00000173662	1	6605241	6649817	265	44	2109196	0.87548	0.19066	TAS1R1
