# ALPHA = 0.05
# NUMBER_OF_TESTS = 17009

# _SET1_  VARIABLE = GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE (set)
# _SET1_  NGENES = 5
# _SET1_  P-VALUE = 1.67283e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000081479     2  169973619  170229195   1492     146  2109196    -0.043294      0.31527   -9.0206e-17    -0.043294
_SET1_   ENSG00000110651    11    2387407    2428649    324      28  2109196      -1.1392      0.81015             0      -1.1392
_SET1_   ENSG00000123384    12   57512276   57617134    415      94  2109196        2.929   0.00041859             0        2.929
_SET1_   ENSG00000099785    19    8468154    8513901    281      53  2109196       2.0644    0.0073325             0       2.0644
_SET1_   ENSG00000130164    19   11190038   11254492    459      68  2109196       5.4772    1.552e-09             0       5.4772

# _SET2_  VARIABLE = REACTOME_LDL_REMODELING (set)
# _SET2_  NGENES = 6
# _SET2_  P-VALUE = 1.9438e-07
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000084674     2   21214301   21276945    353      82  2109196       1.6461     0.021399             0       1.6461
_SET2_   ENSG00000138823     4  100474918  100555156    498      42  2109196       0.4187      0.21151   -1.1102e-16       0.4187
_SET2_   ENSG00000198670     6  160942515  161097407    747      69  2109196       2.7525   0.00070195             0       2.7525
_SET2_   ENSG00000175336    12   56744353   56766607     86      27  2109196       2.5747    0.0027569             0       2.5747
_SET2_   ENSG00000087237    16   56985762   57027757    326      72  2109196       5.0995   1.4098e-08             0       5.0995
_SET2_   ENSG00000185624    17   79791035   79828570    205      29  2109196      0.52151      0.20296   -1.1102e-16      0.52151
