GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
2	rs67269326	1	109776285	rs35271870	2020-08-19	32493714	Klimentidis YC	2020-06-03	Diabetes	www.ncbi.nlm.nih.gov/pubmed/32493714	Phenotypic and Genetic Characterization of Lower LDL-C and Increased Type-2 Diabetes Risk in the UK Biobank.	Low density lipoprotein cholesterol levels	431,167 European ancestry individuals	NA	1p13.3	NR	SARS1			ENSG00000031698	NA	NA	rs35271870-T	rs35271870	0	35271870	intron_variant	0	0.912531	8E-304	303.096910013008		0.124867	[0.12-0.13] unit increase	Affymetrix [15000001]	N
2	rs67269326	1	109804883	rs66795935	2022-10-24	36168886	Thareja G	2022-09-28	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/36168886	Differences and commonalities in the genetic architecture of protein quantitative trait loci in European and Arab populations.	Granulins levels	2,935 Qatari ancestry individuals	NA	1p13.3		CELSR2			ENSG00000143126	NA	NA	rs66795935-G	rs66795935	0	66795935	intron_variant	0	0.0356169	1E-12	12		0.522384	[0.38-0.67] unit decrease	NR [10004359]	N
2	rs4970834	1	109814880	rs4970834	2020-07-21	32203549	Richardson TG	2020-03-23	PLoS Med	www.ncbi.nlm.nih.gov/pubmed/32203549	Evaluating the relationship between circulating lipoprotein lipids and apolipoproteins with risk of coronary heart disease: A multivariable Mendelian randomisation analysis.	LDL cholesterol levels	440,546 European ancestry individuals	NA	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs4970834-C	rs4970834	0	4970834	intron_variant	0	0.813361	2E-336	335.698970004336		0.105228	[0.1-0.11] unit increase	Affymetrix [NR] (imputed)	N
2	rs4970834	1	109814880	rs4970834	2019-06-21	31015401	Wu Y	2019-04-23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31015401	Genome-wide association study of medication-use and associated disease in the UK Biobank.	Medication use (beta blocking agents)	31,700 European ancestry cases, 192,324 European ancestry controls	NA	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs4970834-T	rs4970834	0	4970834	intron_variant	0	0.18364	8E-9	8.09691001300806		0.061627656	[0.041-0.083] unit decrease	Affymetrix [7288503] (imputed)	N
2	rs4970834	1	109814880	rs4970834	2019-06-21	31015401	Wu Y	2019-04-23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31015401	Genome-wide association study of medication-use and associated disease in the UK Biobank.	Medication use (agents acting on the renin-angiotensin system)	62,752 European ancestry cases, 174,778 European ancestry controls	NA	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs4970834-T	rs4970834	0	4970834	intron_variant	0	0.185684	5E-13	12.301029995664		0.056275744	[0.041-0.072] unit decrease	Affymetrix [7288503] (imputed)	N
2	rs4970834	1	109814880	rs4970834	2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Medication use (agents acting on the renin-angiotensin system)	62,752 European ancestry cases, 174,778 European ancestry controls, 45,820 East Asian ancestry cases, 132,906 East Asian ancestry controls	NA	1p13.3		CELSR2			ENSG00000143126	NA	NA	rs4970834-T	rs4970834	0	4970834	intron_variant	0	NR	2E-11	10.698970004336		0.048	[0.034-0.062] unit decrease	Affymetrix, Illumina [15248280] (imputed)	N
2	rs4970834	1	109814880	rs4970834	2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Medication use (beta blocking agents)	31,700 European ancestry cases, 192,324 European ancestry controls, 20,367 East Asian ancestry cases, 158,359 East Asian ancestry controls	NA	1p13.3		CELSR2			ENSG00000143126	NA	NA	rs4970834-T	rs4970834	0	4970834	intron_variant	0	NR	2E-11	10.698970004336		0.0655	[0.046-0.085] unit decrease	Affymetrix, Illumina [15248280] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-08-21	31285632	Klarin D	2019-07-08	Nat Med	www.ncbi.nlm.nih.gov/pubmed/31285632	Genome-wide association study of peripheral artery disease in the Million Veteran Program.	Peripheral artery disease	24,009 European ancestry cases, 150,983 European ancestry controls, 5,373 African ancestry cases, 42,485 African ancestry controls, 1,925 Hispanic cases, 18,285 Hispanic controls	5,117 European ancestry cases, 389,291 European ancestry controls	1p13.3	CELSR2, SORT1	CELSR2			ENSG00000143126	NA	NA	rs7528419-A	rs7528419	0	7528419	3_prime_UTR_variant	0	0.7721	3E-11	10.5228787452803		1.07	[1.05-1.09]	Affymetrix [at least 20323458] (imputed)	N
2	rs646776	1	109817192	rs7528419	2020-01-07	31719535	Noordam R	2019-11-12	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31719535	Multi-ancestry sleep-by-SNP interaction analysis in 126,926 individuals reveals lipid loci stratified by sleep duration.	LDL cholesterol levels x short total sleep time interaction (2df test)	2,974 African American short sleepers, 365 Chinese ancestry short sleepers, 110 Asian ancestry short sleepers, at least 8,230 European ancestry short sleepers, 1,079 Hispanic/Latino short sleepers, 11,801 African American controls, 1,425 Chinese ancestry controls, 444 Asian ancestry controls, at least 31,097 European ancestry controls, 4,023 Hispanic/Latino controls	at least 214 African American short sleepers, 629 East Asian ancestry short sleepers, up to 6,761 European ancestry short sleepers, 2,473 Hispanic short sleepers, at least 913 African American controls, 2,504 East Asian ancestry controls, up to 26,764 European ancestry controls, 9,854 Hispanic controls	1p13.3	PSRC1	CELSR2			ENSG00000143126	NA	NA	rs7528419-?	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	5E-146	145.301029995664		5.382	[4.95-5.82] unit increase	Affymetrix, Illumina [up to 2533153] (imputed)	N
2	rs646776	1	109817192	rs7528419	2019-12-10	31636271	Gallois A	2019-10-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31636271	A comprehensive study of metabolite genetics reveals strong pleiotropy and heterogeneity across time and context.	Serum metabolite levels (CMS)	6,263 Finnish ancestry men	NA	1p13.3	CELSR2	CELSR2			ENSG00000143126	NA	NA	rs7528419-?	rs7528419	0	7528419	3_prime_UTR_variant	0	NR	1E-10	10	(M_LDL_CE)	0.07346058	NR unit decrease	Illumina [609262]	N
