region2	reg_region	type	tissue/cell	genes
1:109920001-109960000	1:109939424-109940075	prom	E065	ENSG00000134243
1:109920001-109960000	1:109940114-109941364	prom	E065	ENSG00000134243
1:110000001-110040000	1:110008743-110008797	prom	E065	NA
1:110000001-110040000	1:110008819-110009859	prom	E065	ENSG00000143028
1:110000001-110040000	1:110025508-110027637	prom	E065	ENSG00000162650
1:110000001-110040000	1:110036185-110037221	prom	E065	ENSG00000174151
1:110000001-110040000	1:110037307-110037353	prom	E065	NA
10:75760001-75800000	10:75756931-75760018	prom	E065	ENSG00000035403
10:75880001-75920000	10:75909901-75912330	prom	E065	ENSG00000185009:ENSG00000156110
10:95640001-95680000	10:95653233-95655137	prom	E065	ENSG00000176273
10:96160001-96200000	10:96161760-96164014	prom	E065	ENSG00000108239
10:96160001-96200000	10:96164207-96164257	prom	E065	NA
10:96160001-96200000	10:96164330-96164370	prom	E065	NA
10:96160001-96200000	10:96164455-96164566	prom	E065	NA
10:96160001-96200000	10:96164729-96164927	prom	E065	NA
10:96280001-96320000	10:96304565-96306808	prom	E065	ENSG00000119969
15:48920001-48960000	15:48934468-48934528	prom	E065	NA
15:48920001-48960000	15:48934579-48934676	prom	E065	NA
15:48920001-48960000	15:48934684-48934767	prom	E065	NA
15:48920001-48960000	15:48934769-48934853	prom	E065	NA
15:48920001-48960000	15:48935133-48935262	prom	E065	NA
15:48920001-48960000	15:48935359-48935494	prom	E065	NA
15:48920001-48960000	15:48935499-48935685	prom	E065	NA
15:48920001-48960000	15:48935713-48939543	prom	E065	ENSG00000166147
15:49080001-49120000	15:49102144-49104249	prom	E065	ENSG00000103995
15:49160001-49200000	15:49169760-49171075	prom	E065	ENSG00000255302
15:49160001-49200000	15:49171098-49171117	prom	E065	NA
15:49160001-49200000	15:49171182-49171261	prom	E065	NA
15:49320001-49360000	15:49336892-49339483	prom	E065	ENSG00000138593
15:67320001-67360000	15:67355910-67362044	prom	E065	ENSG00000166949
15:67360001-67400000	15:67355910-67362044	prom	E065	ENSG00000166949
16:57200001-57240000	16:57218922-57222145	prom	E065	ENSG00000172775:ENSG00000159579
18:19720001-19760000	18:19744380-19745635	prom	E065	NA
18:19720001-19760000	18:19745643-19752076	prom	E065	ENSG00000141448
18:19720001-19760000	18:19752265-19753712	prom	E065	NA
18:19720001-19760000	18:19753753-19756131	prom	E065	NA
18:19720001-19760000	18:19756137-19757914	prom	E065	NA
18:19760001-19800000	18:19760753-19760939	prom	E065	NA
18:19760001-19800000	18:19761013-19761394	prom	E065	NA
18:20120001-20160000	18:20138712-20141653	prom	E065	NA
6:163120001-163160000	6:163147709-163150033	prom	E065	ENSG00000185345:ENSG00000112530
7:41720001-41760000	7:41735284-41736778	prom	E065	NA
7:41720001-41760000	7:41737148-41737223	prom	E065	NA
7:41720001-41760000	7:41737315-41737541	prom	E065	NA
7:41720001-41760000	7:41737595-41741505	prom	E065	NA
7:41720001-41760000	7:41741547-41741838	prom	E065	NA
7:41720001-41760000	7:41744251-41746133	prom	E065	NA
9:21800001-21840000	9:21801357-21804164	prom	E065	ENSG00000099810:ENSG00000264545
1:109920001-109960000	1:109934375-109934490	dyadic	E065	NA
1:109920001-109960000	1:109934491-109934608	dyadic	E065	NA
1:109920001-109960000	1:109934846-109935016	dyadic	E065	NA
1:109920001-109960000	1:109935163-109936303	dyadic	E065	NA
1:109920001-109960000	1:109938839-109939311	dyadic	E065	NA
1:109920001-109960000	1:109941365-109941450	dyadic	E065	NA
1:109920001-109960000	1:109941478-109941609	dyadic	E065	NA
10:75760001-75800000	10:75760049-75760099	dyadic	E065	NA
10:75760001-75800000	10:75760105-75760183	dyadic	E065	NA
10:75880001-75920000	10:75909553-75909657	dyadic	E065	NA
10:75880001-75920000	10:75909738-75909810	dyadic	E065	NA
11:116960001-117000000	11:116965975-116970808	dyadic	E065	ENSG00000160584
15:48680001-48720000	15:48684245-48684373	dyadic	E065	NA
15:49320001-49360000	15:49336570-49336717	dyadic	E065	NA
15:67200001-67240000	15:67228364-67229827	dyadic	E065	NA
16:57200001-57240000	16:57218791-57218917	dyadic	E065	NA
18:19880001-19920000	18:19904033-19905169	dyadic	E065	NA
18:20000001-20040000	18:20003205-20003505	dyadic	E065	NA
7:40560001-40600000	7:40566653-40567555	dyadic	E065	NA
7:40560001-40600000	7:40575773-40575823	dyadic	E065	NA
7:40560001-40600000	7:40575932-40575997	dyadic	E065	NA
7:40560001-40600000	7:40576137-40576423	dyadic	E065	NA
7:40800001-40840000	7:40820819-40821077	dyadic	E065	NA
7:40800001-40840000	7:40821133-40821228	dyadic	E065	NA
7:40800001-40840000	7:40834985-40835035	dyadic	E065	NA
7:40800001-40840000	7:40835250-40835506	dyadic	E065	NA
7:41480001-41520000	7:41517803-41517866	dyadic	E065	NA
7:41480001-41520000	7:41517867-41518106	dyadic	E065	NA
7:41720001-41760000	7:41731503-41731661	dyadic	E065	NA
7:41720001-41760000	7:41731697-41732398	dyadic	E065	NA
7:41840001-41880000	7:41874536-41874641	dyadic	E065	NA
7:41840001-41880000	7:41874736-41875567	dyadic	E065	NA
