Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"FBN1","Fibrillin 1","Protein Coding","P35555","56","GC15M048408","470.819641113281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN1"
"MYH11","Myosin Heavy Chain 11","Protein Coding","P35749","55","GC16M020946","325.789916992188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH11"
"NOTCH1","Notch Receptor 1","Protein Coding","P46531","61","GC09M138715","286.792907714844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"COL3A1","Collagen Type III Alpha 1 Chain","Protein Coding","P02461","56","GC02P188974","270.615631103516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL3A1"
"MYLK","Myosin Light Chain Kinase","Protein Coding","Q15746","60","GC03M123610","267.713256835938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYLK"
"SMAD3","SMAD Family Member 3","Protein Coding","P84022","61","GC15P067063","256.579528808594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","P37173","61","GC03P030623","255.076416015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"TGFBR1","Transforming Growth Factor Beta Receptor 1","Protein Coding","P36897","62","GC09P100712","237.353424072266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR1"
"SMAD4","SMAD Family Member 4","Protein Coding","Q13485","61","GC18P051028","200.38525390625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"FLNA","Filamin A","Protein Coding","P21333","57","GC0XM154348","196.300354003906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNA"
"ACTA2","Actin Alpha 2, Smooth Muscle","Protein Coding","P62736","56","GC10M088935","192.739974975586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTA2"
"NDE1","NudE Neurodevelopment Protein 1","Protein Coding","Q9NXR1","51","GC16P080799","189.185241699219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDE1"
"FBN2","Fibrillin 2","Protein Coding","P35556","51","GC05M128257","187.470611572266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN2"
"COL5A1","Collagen Type V Alpha 1 Chain","Protein Coding","P20908","55","GC09P134641","177.463958740234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL5A1"
"ELN","Elastin","Protein Coding","P15502","52","GC07P074027","160.687561035156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELN"
"PRKG1","Protein Kinase CGMP-Dependent 1","Protein Coding","Q13976","59","GC10P050991","154.588317871094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKG1"
"TGFB2","Transforming Growth Factor Beta 2","Protein Coding","P61812","60","GC01P218345","151.115264892578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB2"
"TGFB3","Transforming Growth Factor Beta 3","Protein Coding","P10600","56","GC14M075958","149.863540649414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB3"
"CBS","Cystathionine Beta-Synthase","Protein Coding","P35520","60","GC21M043053","149.143188476563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBS"
"PLOD1","Procollagen-Lysine,2-Oxoglutarate 5-Dioxygenase 1","Protein Coding","Q02809","53","GC01P011934","149.045608520508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLOD1"
"COL5A2","Collagen Type V Alpha 2 Chain","Protein Coding","P05997","53","GC02M189031","143.247756958008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL5A2"
"LOX","Lysyl Oxidase","Protein Coding","P28300","56","GC05M122063","142.628601074219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOX"
"SLC2A10","Solute Carrier Family 2 Member 10","Protein Coding","O95528","52","GC20P046709","138.407485961914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A10"
"SMAD6","SMAD Family Member 6","Protein Coding","O43541","55","GC15P066702","133.118026733398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD6"
"MED12","Mediator Complex Subunit 12","Protein Coding","Q93074","53","GC0XP071118","124.5673828125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED12"
"SKI","SKI Proto-Oncogene","Protein Coding","P12755","54","GC01P020526","117.23365020752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKI"
"ACTA2-AS1","ACTA2 Antisense RNA 1","RNA Gene","","24","GC10P088932","111.880310058594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTA2-AS1"
"ROBO4","Roundabout Guidance Receptor 4","Protein Coding","Q8WZ75","52","GC11M124883","98.6577606201172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROBO4"
"FOXE3","Forkhead Box E3","Protein Coding","Q13461","44","GC01P047416","98.2532806396484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXE3"
"AAA1","Aortic Aneurysm, Familial Abdominal 1","Protein Coding","","8","GC19U901113","96.1464004516602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAA1"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","34","GC11M001995","95.4634857177734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"LOC126862124","CDK7 Strongly-Dependent Group 2 Enhancer GRCh37_chr15:48764566-48765765","Functional Element","","8","GC15P159647","93.2332382202148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862124"
"LOC113939944","Sharpr-MPRA Regulatory Region 9539","Functional Element","","9","GC15P048520","91.8690872192383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC113939944"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","","31","GC09P021994","90.9413909912109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"LOC101448202","Uncharacterized LOC101448202","RNA Gene","","15","GC09M134819","87.8144226074219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC101448202"
"SRFBP1","Serum Response Factor Binding Protein 1","Protein Coding","Q8NEF9","43","GC05P121961","87.637336730957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRFBP1"
"LOC130057352","ATAC-STARR-Seq Lymphoblastoid Silent Region 6574","Functional Element","","8","GC15P162589","87.0522079467773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130057352"
"SMAD2","SMAD Family Member 2","Protein Coding","Q15796","60","GC18M047809","86.1322937011719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD2"
"MYLK-AS1","MYLK Antisense RNA 1","RNA Gene","","23","GC03P123600","83.0076141357422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYLK-AS1"
"COL1A1","Collagen Type I Alpha 1 Chain","Protein Coding","P02452","58","GC17M078201","78.7229995727539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A1"
"BGN","Biglycan","Protein Coding","P21810","53","GC0XP153494","78.3589477539063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BGN"
"LINC01389","Long Intergenic Non-Protein Coding RNA 1389","RNA Gene","","20","GC01M047357","75.3507385253906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01389"
"AAT1","Aortic Aneurysm, Familial Thoracic 1","Genetic Locus","","6","GC11U900016","73.1576080322266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAT1"
"MFAP5","Microfibril Associated Protein 5","Protein Coding","Q13361","52","GC12M008637","72.0426330566406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFAP5"
"THSD4","Thrombospondin Type 1 Domain Containing 4","Protein Coding","Q6ZMP0","47","GC15P071096","68.4543075561523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THSD4"
"MAT2A","Methionine Adenosyltransferase 2A","Protein Coding","P31153","52","GC02P086483","68.3318481445313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAT2A"
"GATA4","GATA Binding Protein 4","Protein Coding","P43694","58","GC08P011676","67.784423828125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA4"
"JAG1","Jagged Canonical Notch Ligand 1","Protein Coding","P78504","59","GC20M010637","66.4593963623047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAG1"
"LOC126806446","P300/CBP Strongly-Dependent Group 1 Enhancer GRCh37_chr2:189866210-189867409","Functional Element","","8","GC02P189002","66.1527862548828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126806446"
"LOC130057019","ATAC-STARR-Seq Lymphoblastoid Silent Region 6417","Functional Element","","9","GC15P162256","65.6447525024414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130057019"
"TBX5","T-Box Transcription Factor 5","Protein Coding","Q99593","54","GC12M114353","65.4718017578125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX5"
"HIF1A-AS1","HIF1A Antisense RNA 1","RNA Gene","","21","GC14M061681","64.5256652832031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A-AS1"
"AAA2","Aortic Aneurysm, Familial Abdominal 2","Genetic Locus","","5","GC04U901411","62.9572296142578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAA2"
"AAA4","Aortic Aneurysm, Familial Abdominal, 4","Genetic Locus","","5","GC12U901625","60.2083587646484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAA4"
"GATA5","GATA Binding Protein 5","Protein Coding","Q9BWX5","47","GC20M062581","59.2778625488281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA5"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","P14780","62","GC20P046008","58.4765243530273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"NKX2-5","NK2 Homeobox 5","Protein Coding","P52952","54","GC05M173232","54.5948944091797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-5"
"IL6","Interleukin 6","Protein Coding","P05231","60","GC07P022725","54.4736099243164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","P08253","61","GC16P082389","53.0333251953125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","P12821","60","GC17P063477","52.3102264404297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"EFEMP2","EGF Containing Fibulin Extracellular Matrix Protein 2","Protein Coding","O95967","53","GC11M125412","52.2562484741211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFEMP2"
"AAA3","Aneurysm, Familial Abdominal 3","Genetic Locus","","5","GC09U901231","51.7254676818848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAA3"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","61","GC19M041301","51.6017913818359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"CRP","C-Reactive Protein","Protein Coding","P02741","54","GC01M161311","51.2094039916992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"LDLR","Low Density Lipoprotein Receptor","Protein Coding","P01130","60","GC19P112317","48.7967720031738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR"
"LOC126806791","MED14-Independent Group 3 Enhancer GRCh37_chr3:123347871-123349070","Functional Element","","4","GC03P123629","48.0075416564941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126806791"
"HEY2","Hes Related Family BHLH Transcription Factor With YRPW Motif 2","Protein Coding","Q9UBP5","47","GC06P136340","46.5551490783691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEY2"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","61","GC06P134820","45.6004791259766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"AAT2","Aortic Aneurysm, Familial Thoracic 2","Genetic Locus","","4","GC05U990187","44.4042701721191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAT2"
"SLC12A5-AS1","SLC12A5 And MMP9 Antisense RNA 1","RNA Gene","","19","GC20M046148","43.1156387329102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A5-AS1"
"LOC100506472","Uncharacterized LOC100506472","RNA Gene","","11","GC22P039432","43.1156387329102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC100506472"
"MIR21","MicroRNA 21","RNA Gene","","31","GC17P112757","43.0674934387207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"IL10","Interleukin 10","Protein Coding","P22301","56","GC01M206767","42.9414024353027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"APOE","Apolipoprotein E","Protein Coding","P02649","59","GC19P113251","42.0920066833496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"MMP3","Matrix Metallopeptidase 3","Protein Coding","P08254","59","GC11M102835","41.5503768920898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","P29474","59","GC07P158097","40.5754928588867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"FBLN5","Fibulin 5","Protein Coding","Q9UBX5","55","GC14M091869","40.3515701293945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBLN5"
"IPO8","Importin 8","Protein Coding","O15397","48","GC12M030628","40.0537567138672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPO8"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","56","GC02M112829","39.9353218078613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
