ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000031698	SARS	1	109756540	109780791	1	protein_coding	6301	SARS	0.999150650957633	-0.332037527	1	5.364	0	NA	NA	NA	NA	No	NA	6.469e-07	rs67269326	2
ENSG00000143126	CELSR2	1	109792641	109818372	1	protein_coding	1952	CELSR2	0.999999199832348	0.807304437	19	18.47	0	NA	NA	NA	NA	No	NA	3.042e-17	rs67269326;rs4970834;rs646776	2
ENSG00000134222	PSRC1	1	109822178	109825808	-1	protein_coding	84722	PSRC1	1.74717788563073e-06	-0.208880013	16	18.47	1	4.6694e-05	1.25428e-13	GTEx/v8/Artery_Aorta	NA	No	NA	3.042e-17	rs4970834;rs646776;rs67269326	2
ENSG00000134243	SORT1	1	109852192	109940573	-1	protein_coding	6272	SORT1	0.999926560036891	-1.346190944	0	0	0	NA	NA	NA	NA	Yes	Aorta	6.469e-07	rs67269326	2
ENSG00000143028	SYPL2	1	110009180	110024759	1	protein_coding	284612	SYPL2	0.0167710987562036	0.437866135	0	0	13	1.01418e-07	7.81857e-51	GTEx/v8/Artery_Aorta	NA	Yes	Aorta	1.009e-16	rs67269326;rs4970834;rs646776	2
ENSG00000162650	ATXN7L2	1	110026101	110035426	1	protein_coding	127002	ATXN7L2	0.718954812432385	NA	0	0	0	NA	NA	NA	NA	Yes	Aorta	6.469e-07	rs67269326	2
ENSG00000174151	CYB561D1	1	110036674	110045554	1	protein_coding	284613	CYB561D1	0.0158304191038284	-0.395994268	0	0	0	NA	NA	NA	NA	Yes	Aorta	6.469e-07	rs67269326	2
ENSG00000160712	IL6R	1	154377669	154441926	1	protein_coding	3570	IL6R	0.0478690367242407	-0.79334249	68	15.98	9	1.58095e-05	0.00201352	GTEx/v8/Artery_Aorta	NA	No	NA	2.965e-11	rs4845625;rs61812598	3
ENSG00000145242	EPHA5	4	66185281	66536213	-1	protein_coding	2044	EPHA5	0.000390070112904698	0.781725305	1	1.467	0	NA	NA	NA	NA	No	NA	NA	rs201194999	4
ENSG00000170006	TMEM154	4	153539784	153601317	-1	protein_coding	201799	TMEM154	0.000320382542979419	1.532186144	2	2.849	0	NA	NA	NA	NA	No	NA	5.471e-09	rs4569733	5
